Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1700	-7378.783	-7347.446	-31.33662	125160.8	15.83383	0.996409	0.99908	1.00092	1.0036	8.599297
1710	-7388.289	-7358.936	-29.35263	678488.3	19.22516	0.998457	0.999605	1.00039	1.00154	8.569135
1720	-7389.313	-7357.19	-32.12272	775528.6	17.94421	0.998557	0.999631	1.00037	1.00144	8.730836
1730	-7387.738	-7356.759	-30.97813	315082.9	15.65352	0.997736	0.999421	1.00058	1.00227	8.559957
1740	-7367.021	-7336.966	-30.05512	837575.2	18.28807	0.998611	0.999645	1.00035	1.00139	8.616961
1750	-7374.182	-7344.275	-29.90648	359377.7	17.78539	0.99788	0.999458	1.00054	1.00212	8.605499
1760	-7374.621	-7343.409	-31.21191	821282	18.31267	0.998598	0.999641	1.00036	1.0014	8.680104
1770	-7385.963	-7348.558	-37.40545	418152.7	15.9229	0.998035	0.999497	1.0005	1.00197	8.987933
1780	-7373.053	-7337.691	-35.36169	416156.1	17.68733	0.99803	0.999496	1.0005	1.00197	8.912416
1790	-7392.468	-7356.849	-35.61886	15005.29	17.00565	0.989642	0.997331	1.00263	1.0104	8.920716
1800	-7376.855	-7344.913	-31.94128	792400.8	16.25205	0.998572	0.999635	1.00036	1.00143	8.66833
1810	-7379.276	-7343.025	-36.25034	996426.3	15.75427	0.998727	0.999674	1.00032	1.00127	8.904153
1820	-7379.511	-7352.657	-26.85405	18652.96	18.23966	0.990708	0.997608	1.00236	1.00932	8.441465
1830	-7391.774	-7357.161	-34.61282	74019.83	18.13682	0.995332	0.998803	1.00119	1.00468	8.868063
1840	-7356.781	-7332.043	-24.73816	33321.7	19.01138	0.993045	0.998213	1.00177	1.00697	8.330324
1850	-7375.494	-7332.446	-43.04803	590786.3	17.95015	0.998347	0.999577	1.00042	1.00165	9.339496
1860	-7377.925	-7343.873	-34.05261	363509.6	16.24407	0.997893	0.999461	1.00054	1.00211	8.797794
1870	-7380.083	-7345.535	-34.54856	658763.5	19.28983	0.998434	0.9996	1.0004	1.00157	8.837126
1880	-7389.507	-7364.119	-25.38769	746638.5	18.1639	0.998529	0.999624	1.00038	1.00147	8.359885
1890	-7420.363	-7387.704	-32.65906	977585.3	18.87669	0.998715	0.999671	1.00033	1.00129	8.750162
1900	-7377.124	-7346.619	-30.50546	224540	18.4723	0.997319	0.999314	1.00068	1.00268	8.640767
1910	-7395.749	-7364.756	-30.99276	228705.1	18.22259	0.997343	0.99932	1.00068	1.00266	8.668407
1920	-7389.187	-7363.338	-25.84937	352709.1	18.42042	0.997861	0.999453	1.00055	1.00214	8.388317
1930	-7384.65	-7355.289	-29.36167	606045.9	18.5432	0.998368	0.999582	1.00042	1.00163	8.578543
1940	-7384.157	-7349.739	-34.41857	844007.6	17.87418	0.998617	0.999646	1.00035	1.00138	8.85905
1950	-7383.245	-7357.563	-25.68206	397191	19.11449	0.997984	0.999484	1.00051	1.00202	8.379249
1960	-7379.603	-7349.276	-30.32714	700325.6	18.15352	0.998481	0.999612	1.00039	1.00152	8.631803
1970	-7385.185	-7352.966	-32.21921	189698	16.03791	0.997083	0.999253	1.00074	1.00292	8.67092
1980	-7382.718	-7348.887	-33.83116	804819.6	18.02547	0.998583	0.999638	1.00036	1.00142	8.82571
1990	-7385.115	-7353.324	-31.79068	995664.8	15.44714	0.998726	0.999674	1.00033	1.00127	8.591266
2000	-7388.641	-7357.176	-31.46494	87243.79	17.93618	0.9957	0.998898	1.0011	1.00431	8.694143
