Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
116	0	-7380.245	-7346.112	-34.13282	713288.2	17.17494	0.998495	0.999615	1.00038	1.00151	8.837149
117	1	-7376.447	-7350.235	-26.21182	938877.9	18.04108	0.998688	0.999665	1.00033	1.00131	8.403293
118	0	-7380.079	-7355.132	-24.94723	483636.8	19.25261	0.998173	0.999533	1.00047	1.00183	8.339743
119	1	-7367.788	-7341.855	-25.93311	940366	20.13156	0.99869	0.999665	1.00033	1.00131	8.372887
120	0	-7406.112	-7372.726	-33.3857	179306.2	17.99519	0.997	0.999232	1.00077	1.003	8.801101
121	1	-7376.105	-7343.405	-32.70062	356811.3	20.95178	0.997873	0.999456	1.00054	1.00213	8.667152
122	0	-7383.16	-7363.901	-19.25837	222728.7	20.13819	0.997308	0.999311	1.00069	1.00269	8.04125
123	1	-7374.864	-7341.572	-33.29226	411969.7	20.24287	0.99802	0.999493	1.00051	1.00198	8.733144
124	0	-7405.298	-7370.536	-34.76117	925154.6	16.72951	0.998679	0.999662	1.00034	1.00132	8.862442
125	1	-7365.428	-7333.936	-31.4918	448233.5	17.78759	0.998102	0.999514	1.00048	1.0019	8.694654
126	0	-7404.473	-7364.95	-39.52276	263091.2	19.21742	0.997523	0.999366	1.00063	1.00248	9.098508
127	1	-7373.362	-7335.935	-37.42716	720699.9	16.97501	0.998503	0.999617	1.00038	1.0015	9.026602
128	0	-7397.589	-7367.69	-29.89875	411160.9	17.94884	0.998018	0.999493	1.00051	1.00198	8.60694
129	1	-7377.948	-7336.537	-41.41128	740089.3	18.20942	0.998523	0.999622	1.00038	1.00148	9.240579
130	0	-7382.998	-7343.205	-39.79312	879412.1	15.67181	0.998645	0.999653	1.00035	1.00136	9.124204
131	1	-7374.449	-7339.942	-34.50757	502469.6	18.09108	0.998207	0.999541	1.00046	1.00179	8.862699
132	0	-7389.222	-7359.252	-29.96991	592468.4	17.71982	0.998349	0.999578	1.00042	1.00165	8.608103
133	1	-7376.118	-7346.583	-29.53555	667279.9	18.28762	0.998444	0.999602	1.0004	1.00156	8.58855
134	0	-7396.376	-7358.081	-38.29547	868134.9	17.58044	0.998636	0.999651	1.00035	1.00136	9.079185
135	1	-7370.372	-7336.927	-33.44544	665923.9	18.39137	0.998443	0.999602	1.0004	1.00156	8.801089
136	0	-7394.081	-7363.274	-30.80734	816091.9	16.02766	0.998593	0.99964	1.00036	1.00141	8.582081
137	1	-7388.267	-7352.866	-35.40135	816317.6	19.59552	0.998593	0.99964	1.00036	1.00141	8.868849
138	0	-7398.052	-7361.215	-36.83665	575953	15.0502	0.998326	0.999572	1.00043	1.00168	8.879923
139	1	-7397.515	-7365.456	-32.05942	342091.7	19.0899	0.997828	0.999444	1.00055	1.00217	8.713513
140	0	-7401.77	-7370.124	-31.64642	745768.2	18.21956	0.998528	0.999624	1.00038	1.00147	8.704289
141	1	-7374.365	-7351.936	-22.42872	28095.24	18.57301	0.992427	0.998053	1.00193	1.00759	8.205096
142	0	-7390.758	-7356.87	-33.88766	193725.8	16.75546	0.997114	0.999261	1.00074	1.00289	8.811167
143	1	-7395.301	-7371.547	-23.75472	262161.6	21.34298	0.997519	0.999365	1.00063	1.00248	8.225023
144	0	-7391.966	-7357.768	-34.19743	651236.2	16.86193	0.998425	0.999597	1.0004	1.00158	8.83312
145	1	-7370.132	-7344.824	-25.30833	800802.7	18.0609	0.99858	0.999637	1.00036	1.00142	8.353614
146	0	-7385.631	-7351.13	-34.50093	462527.4	17.40355	0.998132	0.999522	1.00048	1.00187	8.861914
147	1	-7381.322	-7346.08	-35.24192	727872	18.56346	0.998511	0.999619	1.00038	1.00149	8.895197
148	0	-7399.171	-7361.391	-37.78063	840092.4	17.68338	0.998614	0.999645	1.00035	1.00139	9.04921
149	1	-7402.926	-7366.583	-36.34365	248696.5	16.1909	0.997452	0.999348	1.00065	1.00255	8.936243
150	0	-7402.043	-7366.996	-35.04713	306271.8	19.59378	0.997704	0.999412	1.00059	1.0023	8.850846
151	1	-7375.515	-7336.206	-39.30872	118126.8	17.48035	0.996304	0.999053	1.00094	1.0037	9.137695
152	0	-7385.901	-7350.718	-35.18303	38977.65	16.61428	0.993569	0.998348	1.00164	1.00645	8.88371
153	1	-7396.845	-7357.475	-39.37013	668835.8	16.32652	0.998446	0.999603	1.0004	1.00155	9.12798
154	0	-7378.153	-7343.653	-34.50005	3378.25	15.78507	0.978216	0.99433	1.0055	1.02195	8.795427
155	1	-7396.281	-7358.97	-37.31084	351968.4	17.96659	0.997858	0.999452	1.00055	1.00214	9.019645
156	0	-7343.335	-7314.131	-29.20437	25.4369	16.75236	0.760426	0.924899	1.05269	1.26199	8.531497
157	1	-7351.809	-7329.58	-22.22844	516122.3	21.42033	0.998231	0.999548	1.00045	1.00177	8.150537
158	0	-7281.605	-7230.599	-51.00537	1.974072	15.23647	0.29016	0.652228	1.06933	1.98829	9.828817
159	1	-7380.354	-7342.791	-37.56254	721062.9	19.28114	0.998503	0.999617	1.00038	1.0015	8.993753
160	0	-7289.292	-7231.113	-58.17863	2.42468	15.63193	0.339197	0.69371	1.07772	1.88937	10.2979
161	1	-7371.682	-7340.001	-31.68153	571154.1	17.4218	0.998319	0.99957	1.00043	1.00168	8.700275
162	0	-7307.394	-7241.631	-65.76264	2.42468	17.39575	0.339197	0.69371	1.07772	1.88937	10.65892
163	1	-7374.674	-7349.507	-25.1662	968373.2	17.73988	0.998709	0.99967	1.00033	1.00129	8.337625
164	0	-7275.534	-7221.493	-54.04086	1.736873	13.5248	0.259706	0.623759	1.06176	2.05478	9.903913
